"kat","Ap1k","Ap2k","Ayk"
"Acrocephalus_palustris",0.0636068518085718,0.131502733821786,-0.0612874348578977
"Acrocephalus_schoenobaenus",-0.0341422200172648,-0.0141345132298925,-0.230673106899697
"Acrocephalus_scirpaceus",-0.0351923665389157,0.0287535134877085,-0.270756303288625
"Actitis_hypoleucos",-0.0184269280209128,-0.00936782908848162,-0.129434758440669
"Aegithalos_caudatus",0.0409896033246257,0.0505839655445579,0.226329642497887
"Alauda_arvensis",0.0353190068033558,-0.0158720103085857,-0.742620451548607
"Anas_crecca",-0.0334283227255057,0.0291463850741741,-0.17291680797384
"Anas_platyrhynchos",0.08404148758464,0.102505287062873,0.00460115755111218
"Anser_anser",0.0978029143176837,0.165597003595625,0.950222617322775
"Anthus_pratensis",-0.158103222293192,-0.0968907632363458,-0.353476933394476
"Anthus_trivialis",0.0987244023826175,0.0837473957039989,-0.0791885225675768
"Apus_apus",0.0174326217578781,0.0435552582447399,-0.276795502260799
"Ardea_cinerea",0.025666378702532,-0.00350318760825752,0.162851473086465
"Aythya_fuligula",0.0654263587499862,-0.0165030139981915,0.206836417812881
"Bonasa_bonasia",-0.00226813912461062,0.00780474977606154,-0.149313289102338
"Branta_canadensis",0.0938317277389675,0.0865833035871986,0.0072874987413432
"Bucephala_clangula",0.00365212026560554,-0.00244360169588495,-0.255203051578505
"Buteo_buteo",0.00838371731833439,0.0235617017052287,-0.0129842029086459
"Carduelis_cannabina",0.0197195473700671,0.00966785417709634,-0.19690925998845
"Carduelis_carduelis",0.0160089102947734,0.00506927150957523,0.159086443570406
"Carduelis_chloris",-0.060846188789092,0.0271924664040301,-0.28787738245279
"Carduelis_flammea",-0.0228588405574194,-0.101196795216487,-0.625796501074421
"Carduelis_spinus",-0.0566751480392902,-0.0383934445604938,-0.147514859903355
"Carpodacus_erythrinus",-0.026550857677084,-0.0778878931520946,-0.429665896668766
"Certhia_familiaris",0.064601286863827,0.0737565812118572,-0.0864564558773802
"Coccothraustes_coccothraustes",-0.0835398672084875,-0.00042728676371834,0.092106944981889
"Columba_livia",0.0613999209357938,-0.0107106922804012,-0.1012972519532
"Columba_oenas",-0.0016591796486281,0.00750481302404852,0.158369376523647
"Columba_palumbus",0.152777599539708,0.22862629943091,0.17076523478851
"Corvus_corax",-0.0176447940359793,0.00509755524045826,-0.09415638788018
"Corvus_corone",0.0785687174288936,0.0790522710666244,-0.18905731837969
"Corvus_monedula",0.126989562530501,0.146781476329981,0.270492491341069
"Cuculus_canorus",-0.00384482274508353,0.0231281104611882,-0.229699386163429
"Cygnus_cygnus",0.0425944791872713,-0.0410548446031383,-0.0534261907751262
"Cygnus_olor",0.147134370426046,0.13295052259568,0.0569142226908366
"Delichon_urbicum",0.0722454566677393,0.0674062638269469,-0.241409904977136
"Dendrocopos_major",0.0819142451266581,0.0651138318138806,0.0149451173925873
"Dryocopus_martius",0.0348573328896693,0.0233707275684171,-0.20436155313017
"Emberiza_citrinella",0.039188419173181,0.011151621173556,-0.541994949426915
"Emberiza_rustica",-0.0518549624958182,-0.113347770641207,-0.231049060186648
"Emberiza_schoeniclus",-0.0511142528965779,-0.0395697754920974,-0.410274664481827
"Erithacus_rubecula",0.15100031142023,0.167195167453083,-0.0305600121412262
"Falco_tinnunculus",-0.0354517869173564,-0.00642935293873082,0.0410560943390769
"Ficedula_hypoleuca",-0.0210926698638094,-0.014442094712868,-0.12856652768422
"Fringilla_coelebs",0.204634335849158,0.200594914814318,-0.00738265702027846
"Fringilla_montifringilla",-0.2266892176397,-0.268531724231696,-0.444927817486342
"Fulica_atra",0.148942272157287,0.175661384907678,-0.304665699990688
"Gallinago_gallinago",0.000476959090967317,-0.0201511734719567,-0.133993714949268
"Garrulus_glandarius",0.0459413492467282,0.120819881388495,-0.11791301282185
"Gavia_arctica",0.0402687089811696,0.0057685592565222,-0.124022839423546
"Gavia_stellata",0.0350589243203506,0.00554319656171269,-0.226257669437274
"Grus_grus",0.000279439254971356,0.0185872691745208,0.12222761560951
"Haematopus_ostralegus",0.0901216439044429,0.136121915400614,-0.233894493421594
"Hippolais_icterina",0.088806783346305,0.042590842042915,0.0629111256953553
"Hirundo_rustica",0.00606385968903458,0.0162206435543175,0.22163232737199
"Jynx_torquilla",0.00830751379322342,-0.00376171751803942,-0.0902247354140375
"Lagopus_lagopus",0.0163682404798439,-0.0250258374819968,-0.512901361893609
"Lanius_collurio",-0.0409745372931837,0.0106249551585356,-0.137445846726343
"Larus_argentatus",0.13656956199825,0.10495530326446,-0.555234493661349
"Larus_canus",0.104252488657833,0.0361961503787065,0.0150563362316858
"Larus_marinus",0.132332870453651,0.0930077326457476,-0.246231975153698
"Larus_ridibundus",0.0110384751310709,-0.00476267136387796,-0.0250935371036211
"Loxia_curvirostra",-0.00619855339356763,-0.0136644772772213,-0.0539098386455783
"Loxia_pytyopsittacus",0.0129183454594955,0.00813878171348958,0.0338943004469326
"Lullula_arborea",-0.0303180067781797,-0.00763210462069535,0.0278847538559456
"Luscinia_luscinia",0.15737700838225,0.0767424370129068,-0.108471661957858
"Luscinia_svecica",-0.0147275964709437,-0.0553720390901446,-0.193708659045624
"Mergus_merganser",-0.0129981245440304,-0.020255369552465,0.142353978587804
"Motacilla_alba",0.0179314395899753,0.0310270423619993,-0.112621307599961
"Motacilla_flava",-0.0572520462753527,-0.117943858491756,-0.137272833725236
"Muscicapa_striata",0.00987830540089753,-0.00170908229452155,0.157689053130416
"Numenius_arquata",-0.296169130216375,-0.261574792323374,-0.242695924176047
