"grid_id","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","routeid","left","top","right","bottom","coords.x1","coords.x2"
67,,,,0.421418443628063,0,,0.263491389579567,0.693147180559945,,0.341854172591212,2.30391194190441,,,,,,,,,,,2.30114112603028,1.09247101842932,,,,,,,0.173286795139986,0,,1.17558423953039,,,,,,0,,0.886350000844769,1.96052963816693,,0.707918488861028,2.70158717021708,0.371367318203774,,0,0,,,,,,,0.0693147180559945,0,0,,,,,0.95166562244258,,,,,,0.173286795139986,,0.173286795139986,,,0.289723367379385,,0,0.693147180559945,,0.44057842757849,0.643715978010614,,,,,,,0.288811325233311,,0,4.0926537694348,,,0,,1.50609296784063,0,0.259930192709979,0.339494463746831,0.693147180559945,0,,,0.346573590279973,0,0.372224333783975,0,1.40916535898362,0,,,,0,0.806487614514771,1.97003207255963,1.52812424952761,1.20868662810011,0,0.648976478726949,,,1731.5,4091897.35716,3960489.78728,4141897.35716,3910489.78728,4117000,3947070
138,,,,0.263366901733081,,,1.44518587894808,0.231049060186648,,2.54370229074087,0.546179142690371,0.693147180559945,,0.361296469737021,,,0,,,,,2.67600810005026,1.31941812225567,,,,,,1.242453324894,0.504152677744057,0.751570178240874,,2.99956271822328,,,0.693147180559945,,,,,2.45785516147362,0.781932953105242,0,0.447939867307014,1.39906082215629,2.98896556208547,,0.718524015859824,,0.645200168484648,1.242453324894,0.693147180559945,,0.895879734614027,,0,0.349631091449535,,,0.709398441455357,,,1.38629436111989,,,,0.978371437612846,0,0.35605944704832,0.98125654667813,0.519860385419959,0,0.346573590279973,1.26806526197246,,,,,0.192691450526411,0.595839183060279,,,,,,,0.551289435584592,,,4.17921909272111,0.346573590279973,,0.840280183483034,,0.444882366137451,0,,,0,,,1.38629436111989,0.154032706791099,0.173286795139986,,,0.346573590279973,,0.264837819195662,0.346573590279973,,1.35100919074159,1.09861228866811,2.68547628866637,0.483900126363486,1.93373927755904,2.71195153784325,1.1796908058352,,0,1750.5,4191897.35716,4110489.78728,4241897.35716,4060489.78728,4227875,4086050
169,,,,0,,,,,,2.36535231509168,0.383764182165674,,,,,,,,,,,1.47443493533933,0.907609601902965,,,,,,,0.485203026391962,0.211794971837761,,1.4672139533946,,,0,,,,,1.07584366557267,0.602470125418854,0.549306144334055,0.245925296940929,,1.81000138432778,,,,0,,,,0.519860385419959,,,0.570222149202141,,,0.231049060186648,,,,,,,0.906819115668125,,0,,0.346573590279973,,,1.43374879357784,,,,,0,0.658547336218934,,,,,,,0.731943085618589,,,3.10084888015576,,,0.435785096854083,,0.704007168429315,0,,,,,,,,,,0,,,,,,0.173286795139986,0.797915290463674,0.594504547797347,,0.446669365502576,0.752163127484213,0.716367988625857,,,1722.5,4241897.35716,4410489.78728,4291897.35716,4360489.78728,4288650,4372987.5
177,,,,0.240738840626733,,,0.366204096222703,,,0,3.48779804856,,,,,0.5364793041447,0.600275114675983,,,,,1.96315783736949,2.00930585631552,,0.193452925634948,,,,0.813857312711414,0.138629436111989,0.160576208772009,,2.0283241919629,,,,0.52216702527821,0.231049060186648,,,1.09480920912243,1.26726685808644,,1.50951984634488,2.77565900469677,0.831038343034224,,,0.328593460751736,,,,,,,0.838003944766459,,0.213833305950803,,0,,,1.36201171641225,,1.09861228866811,,,,0.276824572214486,,0.399710542036335,,,0.377506817631972,,,,0.449178385734602,0.591192209994543,0.947365192352749,,,,,,,2.27890942860425,0,,3.63374520238281,,,0,,0.315962457324016,0,0.23350287342949,0.767226095190938,0,,,,0,0.618873115501255,1.05234773810117,0.549306144334055,2.02504716047583,0,0.288972647059243,,0,0,0.173286795139986,1.0477746347069,1.27397882576572,1.26455067744683,0.2484906649788,,0.752883171002824,,1711.5,4241897.35716,4010489.78728,4291897.35716,3960489.78728,4251790,3984490
206,,,,0.346573590279973,0,,,,,,1.29313646340752,,,,,,,,,,,1.53027646151826,1.61214220748572,,0,,,,0.346573590279973,1.09861228866811,0.693147180559945,,0.813782292565394,,,,,,,,1.09861228866811,0.982523132184021,,1.81585738555668,0.869170102138155,3.24358820956176,,,,,,,,0.621226662447,,0.693147180559945,,,,1.38629436111989,,,,,,,,,0,,0,,,,,,0.549306144334055,,1.16246549163886,0.338506275137776,,,,,,,1.05935127678265,0,0.346573590279973,3.96254231848944,0,,,,1.13301973272476,0.173286795139986,,,,,,,0.693147180559945,,,0.414151108298,,,,,,,0.70808254034156,1.80140817406445,,1.49431620246178,2.5811064872487,0,,,1717.5,4291897.35716,4410489.78728,4341897.35716,4360489.78728,4293100,4373800
281,,,,0,,,0.693147180559945,,,2.05978604086161,1.51175172942407,,,,,,0.346573590279973,,,,,1.3423760868883,0.871482758783306,0,0,,,,0.231049060186648,0.366204096222703,0.448482742318878,,2.27885347971271,,,2.50531764704813,0,0,,,0.192540883488874,0.733693691370762,,0.987108626536334,0.598832102561729,2.81958037283145,,0,,,0.231049060186648,,,,0.693147180559945,0,0,,,0.757894406124477,,,1.2798562847302,,,,0.843025096053048,,,0.304289879431189,0.269227840681405,,1.48566238343908,1.49861250721061,,0,,0.693147180559945,0.0895879734614028,0.467551038690722,,,,0.529675638391324,,,2.16556478309017,,,2.99504032702325,0,,1.2384752562984,,0.404335855326635,0.134778618442212,0.929422157915431,0,,,,,,0,,0,0.500794505867993,0,0,1.01604847701895,0.346573590279973,0.231049060186648,,0.103972077083992,,0.662778579598711,0.526798324547004,0.685079865417749,0.470242289429259,,1759.5,4391897.35716,4360489.78728,4441897.35716,4310489.78728,4434520,4329720
289,0.707870060016993,0,0.649119606361276,0.672575507398985,0.346573590279973,1.18120432074316,1.93903705332107,1.4712115569812,1.59418173697466,1.7485094538376,1.37119069519563,1.07426927906905,0.578484189939442,1.03972077083992,,0.944118309890372,0.839876644298158,0,1.77827652274216,,1.56164675845355,0.895879734614027,1.67088339381672,,0,,2.07944154167984,0,2.20063619001495,0.591098538814644,2.27131154842011,1.16897999178124,0.5893976223763,0,1.66454400446288,1.43260576962047,0.709829778955307,0.28527176196674,2.07986997644439,,1.06564517013318,1.82934378827598,,0.973891190651059,2.99088276652586,2.30258509299405,,0.539114473768846,0.977615505698338,0,,0,1.69587195071124,0.457755120278379,1.56384338754632,0,,0.462098120373297,3.78997501459368,2.21787450035361,1.67700466014832,2.93363009274903,0.953930850325397,0.693147180559945,0.346573590279973,0.447939867307014,,0.866433975699932,1.11157455357641,,0.495886879382311,1.47221948958322,,0.915902921324779,0,0,1.43725098714609,0.346573590279973,1.67945351779319,0.298626578204676,0,2.7295630414814,1.22083188753415,,3.07514200313141,0,0,0,0.346573590279973,3.44329507190798,1.45979666659255,0.698373097728782,,,0.901225809528658,,1.04040773744998,0.685079865417749,,0.0577622650466621,1.11022953812552,2.46721956982827,1.40311096185672,1.3722397726859,1.30284946182504,0.806700555166555,0.298626578204676,0,,,0,1.13570883777216,0.612017906174836,0.501880255891723,2.11660334493103,1.28002038366699,0.701123786703084,0.693147180559945,0.382186433581136,0.575646273248511,1699.2,4391897.35716,3960489.78728,4441897.35716,3910489.78728,4404255.2,3935400.8
291,0.693147180559945,,1.497866136777,,,2.484906649788,,,,0.693147180559945,1.09861228866811,2.19722457733622,,,,0.693147180559945,,,1.95601150271407,,2.57083177825133,,0,,,,,,2.22132562824516,0,2.76471454375571,2.13833305950803,1.242453324894,,2.51521896069622,,0,,2.2975599250673,,1.6094379124341,1.44518587894808,0,1.6094379124341,2.48142231512995,,,,,,,,0.693147180559945,,1.79175946922805,,,,2.2386684072391,2.13833305950803,2.2975599250673,1.62904826901074,,,,0.693147180559945,,,1.52226121886171,,,0,,0.693147180559945,,,2.2975599250673,,2.39374587139102,,,0,2.07944154167984,,0.693147180559945,1.77767403074471,0.693147180559945,,,3.52245255856469,2.04717228111105,,,,1.09861228866811,,,,,0.895879734614027,1.31952866480763,2.66635939663268,0.895879734614027,0.895879734614027,2.52492800362477,0,0,,,,,0.549306144334055,1.6094379124341,,2.88882616161133,0,0.549306144334055,,,2.41814095347574,651,4391897.35716,3860489.78728,4441897.35716,3810489.78728,4426541,3853134
316,,,,1.03972077083992,,,,,,2.43723419817188,,1.38629436111989,,,,,1.03972077083992,,,,,1.38235727187786,,,,,,,,0.693147180559945,1.6094379124341,,0.748933068388498,,,,,,,0.549306144334055,0.693147180559945,0,0,,0.895879734614027,1.40869740079231,,,,0.693147180559945,,,,,,,1.79175946922805,,,1.94591014905531,,,,,,,0.693147180559945,0.693147180559945,1.03972077083992,,,,,1.03972077083992,,,,,,,,,,0.895879734614027,,,0.693147180559945,0.693147180559945,,1.64481280300253,,,1.84443972705697,,,,,,,,,,,,,,,0,0.693147180559945,0.693147180559945,,,,2.13833305950803,,,,,,,954,4441897.35716,4460489.78728,4491897.35716,4410489.78728,4461906,4456390
318,,,,1.38629436111989,,,0.346573590279973,,,0.922219863528484,0.722592939474041,,,0,,,1.10770419971083,0,,,,2.15130101718474,1.97709678982251,,,,,,0,1.31437384300695,,,1.31437384300695,,,,,,0,0.895879734614027,,1.17053280678105,,0.722592939474041,2.33932344623309,2.87608215443618,,1.38629436111989,,1.38629436111989,,,,,,,2.21836701383341,,,1.58902691517397,,,,,,,0.549306144334055,0.693147180559945,0.693147180559945,1.06916652975401,0.621226662447,0.693147180559945,0.895879734614027,1.6661022550876,,,,,0.447939867307014,,,,,1.6094379124341,,,1.09861228866811,1.242453324894,,3.2824265879149,,,,,,,1.58902691517397,0.173286795139986,,,,,,0,,,1.38629436111989,0.693147180559945,0.866433975699932,0.693147180559945,,,,2.04212160428167,,2.01521393823358,1.58902691517397,0.447939867307014,0.346573590279973,0.693147180559945,895.5,4441897.35716,4360489.78728,4491897.35716,4310489.78728,4471899,4345346.5
