"species","pa_t1","pa_t3","pa_t4"
"Phasianus_colchicus",-0.661407700705305,-0.0726762565173216,-0.410725823165313
"Phoenicurus_phoenicurus",0.0416227836360766,0.158906452850152,0.0269015152172959
"Phylloscopus_collybita",0.0864502701574779,-0.164309829285851,0.0818458818677943
"Phylloscopus_sibilatrix",0.15872955101084,0.0338355586664002,-0.0631353725953312
"Phylloscopus_trochilus",0.10475611758786,-0.0116780655544852,0.0306314387879366
"Pica_pica",0.375822395010439,0.0674373144496206,-0.147648914553022
"Picus_viridis",-0.266945129923979,0.0722091372402181,-0.114998718318994
"Pluvialis_apricaria",0.108345703006483,0.0696037144603652,0.0947505194354476
"Podiceps_cristatus",NA,0.0766876067938256,-0.106837531966567
"Prunella_modularis",0.0401414763148579,-0.0944312061993692,-0.0844285669418492
"Pyrrhula_pyrrhula",0.0662162893162525,0.165324286991274,0.147179889571279
"Regulus_regulus",0.243927019662852,-0.0648221710759762,-0.110725327670078
"Saxicola_rubetra",0.134427154142947,-0.0331500587154816,0.00163031715813762
"Scolopax_rusticola",0.303913257923229,-0.128736555185467,0.0688941113355387
"Sitta_europaea",-0.10348535075045,0.155408560077851,0.173991893335219
"Sterna_hirundo",-0.250026600874747,-0.130825426077044,0.0657741047675612
"Sturnus_vulgaris",0.00452751586481545,0.0130150995730024,-0.0900845311524443
"Sylvia_atricapilla",0.0552815587510805,0.185057603922362,0.217444844132498
"Sylvia_borin",0.197385724117867,0.118398675581311,-0.0598049399205918
"Sylvia_communis",-0.0531142357180929,-0.0527413086135073,0.0861868030827326
"Sylvia_curruca",0.243744553152877,0.131538866333129,0.0100712993029018
"Tetrao_tetrix",-0.177073049376467,0.0712253907511096,-0.0299130258526839
"Tetrao_urogallus",-0.144071326425322,-0.0481248662149836,0.154306281180295
"Tringa_glareola",0.1420209808448,-0.0576599603922274,0.0186152754166534
"Tringa_nebularia",0.252060036290776,0.144352735684508,-0.0696688679820903
"Tringa_ochropus",0.0484184976877491,0.112309810987923,-0.0537765754910508
"Tringa_totanus",NA,-0.32111669282729,-0.156111617951362
"Troglodytes_troglodytes",-0.0978438261264575,0.0157092926955567,0.127208416667877
"Turdus_iliacus",-0.0354078439767716,-0.135647963944485,0.206294198413952
"Turdus_merula",0.0474877758967768,0.275887568504358,0.375145742200385
"Turdus_philomelos",0.245570103093672,0.19332447087812,0.333679327354324
"Turdus_pilaris",-0.0811396436683503,0.0699612653584876,0.0104437385892794
"Turdus_torquatus",NA,-0.386341935545232,-0.33130578774195
"Turdus_viscivorus",0.152405419933773,-0.103626423726697,-0.0704587139829917
"Vanellus_vanellus",0.0174854745236822,-0.0743667619222679,-0.0371955121771003
