"kat","Ap1k","Ap2k","Ayk"
"Acrocephalus_palustris",0.0252575021958739,0.0162258228375656,0.0236742424242424
"Acrocephalus_schoenobaenus",0.00106041946160331,-0.026606501814094,0.00126262626262626
"Acrocephalus_scirpaceus",0.052960381815198,-0.00236623394072136,-0.0318813131313131
"Actitis_hypoleucos",0.00379175301568348,-0.0377280396068186,-0.0306186868686869
"Aegithalos_caudatus",0.0211136456540767,0.0246464077047727,0.000946969696969696
"Alauda_arvensis",0.026473002186082,-0.0567168131555933,-0.0849116161616162
"Anas_crecca",-0.000401114736737758,-0.0221932048738398,0.00893997445721584
"Anas_platyrhynchos",0.0421705533801748,-0.0163454828052877,0.00606641123882503
"Anser_anser",0.0228575524924691,0.10689841907235,0.0769476372924649
"Anthus_pratensis",-0.0457602912888328,-0.0740297339120869,-0.0684974747474748
"Anthus_trivialis",0.0387459248322618,-0.00172401928141988,0.0157828282828283
"Apus_apus",0.0485020738281522,-0.0290898867724066,-0.0520833333333333
"Ardea_cinerea",0.0468201825314,0.0141880719333976,0.00662878787878788
"Aythya_fuligula",-0.00390002969495678,-0.0165333095711605,-0.0194763729246488
"Bonasa_bonasia",0.000919077093949481,0.00259106109895342,-0.00157828282828283
"Branta_canadensis",0.0417496432336339,0.0385416199607475,0.0223499361430396
"Bucephala_clangula",0.0148074661072514,-0.0348869142168474,-0.0456577266922095
"Buteo_buteo",0.0563371080195641,0.0308295165690223,0.029040404040404
"Carduelis_cannabina",0.0417873119581299,-0.0186891289519863,-0.0337752525252525
"Carduelis_carduelis",0.011330543175966,0.0723791125614181,0.060290404040404
"Carduelis_chloris",0.0285476202514035,-0.00165680629199591,-0.0912247474747475
"Carduelis_flammea",-0.0517191383933037,-0.0695236308052286,-0.0640782828282828
"Carduelis_spinus",0.00992635931467015,0.0375230921105609,-0.0568181818181818
"Carpodacus_erythrinus",0.00610457621903405,-0.0479714939155816,-0.0612373737373737
"Certhia_familiaris",0.0698927145876298,0.0483891641550113,-0.0782828282828283
"Coccothraustes_coccothraustes",0.0240026839608211,0.0429242977364501,0.0315656565656566
"Columba_livia",0.0105317141911873,-0.00298487903890491,0.0280934343434343
"Columba_oenas",0.0334904397097309,0.0107774118473511,0.021780303030303
"Columba_palumbus",0.0478497307441679,0.0481727365232568,0.0101010101010101
"Corvus_corax",0.00995897294803752,0.0474327285459823,0.0107323232323232
"Corvus_corone",0.0102281325058879,-0.0138798028689438,0.0284090909090909
"Corvus_monedula",0.0414504011628294,0.0374961621133585,0.0596590909090909
"Cuculus_canorus",-0.00307932657471623,0.016506030108755,0.0252525252525253
"Cygnus_cygnus",-0.00562766700156338,0.0770868783199566,0.0708812260536398
"Cygnus_olor",0.0270042519476661,-0.00150955296891327,-0.0172413793103448
"Delichon_urbicum",0.0172335169429189,-0.0600056441765167,-0.077020202020202
"Dendrocopos_major",0.0767982412026044,0.0728282279249651,0.0441919191919192
"Dryocopus_martius",0.0453021050583735,-0.00471414252337392,-0.0763888888888889
"Emberiza_citrinella",0.0534803887418712,-0.0435346664677074,-0.0931186868686869
"Emberiza_rustica",-0.0134356358348304,-0.0339596579709678,-0.0198863636363636
"Emberiza_schoeniclus",-0.0263360257655405,-0.104169395343274,-0.111742424242424
"Erithacus_rubecula",0.079158986423473,0.059005291430184,0.0220959595959596
"Falco_tinnunculus",0.000605676487055918,0.0230296750505693,0.0419823232323232
"Ficedula_hypoleuca",0.0405320743455944,-0.043916538780666,-0.0113636363636364
"Fringilla_coelebs",0.0406851678741311,0.0427921550527198,0.0435606060606061
"Fringilla_montifringilla",-0.0547684356860891,-0.0829701290412437,-0.0517676767676768
"Fulica_atra",0.0250741883328183,-0.00129420883989479,-0.0242656449553001
"Gallinago_gallinago",-0.0158849337729795,-0.0512236961035918,0.0101010101010101
"Garrulus_glandarius",0.0671214174702824,0.0185383728829152,-0.0375631313131313
"Gavia_arctica",0.00167122241901909,-0.0080013688020456,-0.0172413793103448
"Gavia_stellata",-0.00387829423334846,0.0229738869057938,0.0280970625798212
"Grus_grus",0.00973928460525434,0.167144951633756,0.149305555555556
"Haematopus_ostralegus",0.0159822981480407,0.0149453001143738,-0.00189393939393939
"Hippolais_icterina",0.030495370548791,0.0324648296263248,0.00157828282828283
"Hirundo_rustica",0.0347342973617565,0.0281877205514381,0.0435606060606061
"Jynx_torquilla",0.0118129255084414,-0.0355553382550579,-2.10269512239613e-18
"Lagopus_lagopus",-0.0243531675160126,-0.0283083596925017,-0.0202020202020202
"Lanius_collurio",0.0448808447003348,-0.0126787442900011,-0.0132575757575758
"Larus_argentatus",0.0455051950866652,-0.0194455709854923,-0.0552362707535121
"Larus_canus",0.00266429592230752,-0.0134466572394929,-0.00319284802043423
"Larus_marinus",0.0247072996356303,0.0119278613111929,-0.0242656449553001
"Larus_ridibundus",0.00593491717634295,-0.0548298690815921,-0.0236270753512133
"Loxia_curvirostra",0.0296234880599444,0.0228664451049093,0.0107323232323232
"Loxia_pytyopsittacus",0.00434299287220831,0.0168090860110764,0.0255681818181818
"Lullula_arborea",0.0205439833757319,0.0186206597299013,0.00726010101010101
"Luscinia_luscinia",0.0501142958066202,0.000311211107962564,-0.0189393939393939
"Luscinia_svecica",-0.0282171349478041,-0.0367716259367977,-0.0394570707070707
"Mergus_merganser",-0.00260519320337166,-0.0144140012737676,-0.0341634738186462
"Motacilla_alba",0.0369951716236487,-0.0257818020360634,-0.0183080808080808
"Motacilla_flava",-0.0471418536758692,-0.101337778558498,-0.0192550505050505
