"grid_id","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","routeid","left","top","right","bottom","coords.x1","coords.x2"
67,,,,0.36582767862886,0.274653072167027,,0.597253156409352,0.529675638391324,,0.764936301275266,2.52384622730261,,,,,,,,,,0.433216987849966,2.00650347286586,1.56575557866463,,0,,,,0,0.534583264877007,0,,0.684036638265125,0.231049060186648,,,,,0.693147180559945,,0.500968238240974,1.72419380915817,0,0.970723569197807,2.81238291297347,,,,0,0.693147180559945,,,,0,0,0.404497177152568,0,,,,,,0.737775890822787,,,,,0.693147180559945,0.346573590279973,,0.397256728793493,,,0.317805383034795,,0,0.245925296940929,,1.24961425174409,0.525862462480931,,,,,,,0.913706259808685,0,,4.17076186772627,,0,,,1.60832811140633,0.648636716351771,0,0.63113947683304,0.173286795139986,,,0,0.582235930183123,0,1.38694400493458,,1.3045708943462,0,0,,0.693147180559945,,1.43513419503054,1.57476311444415,1.99936286351619,1.92418695546072,0,0.486353939606328,0,,1731.5,4091897.35716,3960489.78728,4141897.35716,3910489.78728,4117000,3947070
138,,,,0,,,0,0,,2.28502728045064,0.906391570165078,,,0.276100738865333,,,,,,,0.441526447212336,2.01408502626095,0.802324377278957,,,0,,,0,0.0462098120373297,0.931324788036719,,2.08956459887946,,,1.67021176469875,,,0.366204096222703,,1.93964377565821,0.589005678588638,,0,1.66607186705726,2.19383348628829,,0.621564751429401,,0,0.519860385419959,1.08179743162589,,0.173286795139986,,,0.251759101473423,0,,0,,,1.3755379409303,,,,0.43847118105186,0.173286795139986,0.438124614335648,0.925007809581927,0.173286795139986,,0,0.775437544354912,0,,0,,0.421777460118786,0.590432463269366,0,,,,,,0.747749756950094,,0,4.19065059191475,0.231049060186648,,1.17202937704182,,0.773449651294334,0,,0,0,,,,1.00071410301553,0,0,,0,,0.173286795139986,,,0.675902229899256,0.438124614335648,2.00514898750259,0.548390538385727,2.2316412173056,2.47004690386619,1.1191093538549,,0,1750.5,4191897.35716,4110489.78728,4241897.35716,4060489.78728,4227875,4086050
169,,,,0,,,0,0,,2.79568314487394,1.14153514970331,,,,,,0.693147180559945,,,,,1.62455107196968,0.625616683932743,,,,,,,0.33241533721369,0.353117092260883,,1.36159673453275,,,,,,,,1.00385631388161,0.707870060016993,0.289037175789616,0.149313289102338,1.28612472357285,1.86776389517722,,,,0.462098120373297,,,,0,,,0.462610965864724,,,0.317805383034795,,,0,,,,1.12298836343898,,0.173286795139986,,0.183102048111352,,0,1.68642124525793,,,,,0.0770163533955495,0.298626578204676,,,,,,,0.795023270478597,,,3.5154098125361,,,0.825890610271298,,0.750509124672004,0.173286795139986,,,,,,,0,0.346573590279973,,0,,,,,,0.631041915418365,0.35578652580774,0.952509472881965,0.549306144334055,0.429287331397156,1.26216083017866,1.66371735562862,0,,1722.5,4241897.35716,4410489.78728,4291897.35716,4360489.78728,4288650,4372987.5
177,,,,0.302166141471247,0,,0,0,,0,3.21328800429882,,,,,0,0.768715867257189,,,,,1.09136583678741,1.78238559305072,,0.222958629863058,,,,0.173286795139986,0.148531538691417,0,,1.15920548896137,,,,0.368616874053213,0.120432156579007,,,0.225622421247816,1.15758504974277,,1.27081679364335,2.79146120727182,,,,0.115524530093324,0.693147180559945,,,,0,,0.127982819230575,,0.118796281083779,,,,,1.39049883754897,,,,,,0,,0.456329915812895,,0,0,,0.231049060186648,0.138629436111989,0.78327470852877,1.24140015549091,0.330231407806859,0.693147180559945,,,,,,2.047831372448,0.346573590279973,0,3.45916702554876,,0.447939867307014,0,,0.437976971977291,0,0.462239276970988,0.322364792437767,,,,,0.496182707241912,0.267197528040043,1.43878288401351,0.323968147461436,0.898796620779325,,0.600862761818812,,0,0,0.408157731788588,1.0482512134944,1.24536723708667,0.921782981618954,0.4969813299576,0.346573590279973,0.944303542763729,,1711.5,4241897.35716,4010489.78728,4291897.35716,3960489.78728,4251790,3984490
206,,,,0.183102048111352,0,,,,,,1.62812137892446,,,,,,,,,,,1.36308060430236,1.10706481212748,,,,,,0.549306144334055,1.03320627069754,0.462098120373297,,1.09353811404745,,,,,,,,0,0.621226662447,0,1.51271395377568,2.58511752656764,2.76790256007987,,,,,,,,1.35698966637827,,,0,,,,,,1.09861228866811,,,,0,0.693147180559945,0.549306144334055,,0.447939867307014,,,,,,0.346573590279973,,0.599424656456811,0,,,,,,,1.12636416840991,0.549306144334055,0.549306144334055,4.05572081606309,,,,,1.11984966826753,0.346573590279973,0.693147180559945,,0.346573590279973,,,,0.414151108298,0.346573590279973,,,,,,,,,1.1577059665917,2.20889325654132,1.12495241758257,1.73393152898454,2.82435634678165,0.115524530093324,,,1717.5,4291897.35716,4410489.78728,4341897.35716,4360489.78728,4293100,4373800
281,,,,,0.693147180559945,,0,,,1.5462759701057,0.766121996915269,,,0,,,0.274653072167027,,,,,0.369099429619315,0.497295971547056,,0,,,,0,0.308065413582198,0.0920335796217778,,0.44526157399099,0.693147180559945,,,,0,,,0,0.468213122712422,,0.294261826730858,0.637733047966178,1.86589962110481,,0,,0.346573590279973,0,,,0,,0.366204096222703,0,,,0.847469573861187,,,0.875798286110634,,,,0.173286795139986,,,0.198042051588556,0.589400954032259,,0.639916083327249,0.474029721694159,,,,0.173286795139986,0.421000681451614,0.187767691858135,,,,0.433216987849966,,,1.76715525923989,,0,2.18958103565785,0,,1.11761295263764,,0.392783402317302,0.346573590279973,0.418550534061908,0.277258872223978,,,,,,,,0,0.326024870819131,,0.0693147180559945,0.382060961049854,0,0.559924834133767,0,0.137326536083514,0.346573590279973,0.69286830189352,0.177493332127714,0.504431630549239,0.576738593095626,,1759.5,4391897.35716,4360489.78728,4441897.35716,4310489.78728,4434520,4329720
289,1.00689471647746,,0.346573590279973,0.75119175880199,,0.512245634334586,1.54029993786297,2.16273035867531,3.97522238896377,1.64784344001676,2.57586756868067,1.66312935912032,0.844284553954432,1.38629436111989,,1.99960987458538,1.2489188402297,0.431045487802507,1.70511607165806,,1.58579789864739,1.67623493913473,1.50401515359999,,0.346573590279973,0.115524530093324,1.73286795139986,,2.38783282426808,0.861055765605134,1.61776723303314,1.84044480558086,0.883052894424673,0,1.18618763010811,1.26879345380846,0.64087879185248,0,1.97884013438762,,0.621226662447,2.24013549320454,0.346573590279973,0.815821369272648,3.16136881161573,,,0.322600084242324,0.657186921503473,0,0,0.115524530093324,1.91084176623368,0.577622650466621,1.97039137897568,0.231049060186648,,0.382186433581136,3.00972039169447,2.01101952542424,1.17293893788772,1.55160577276752,0.712777686502676,0.597253156409352,0,0.895879734614027,,1.01446245448538,1.65676087091385,0,0.534583264877007,3.83156088373147,,1.46297712546461,0,0.0770163533955495,1.66934394882495,0.346573590279973,2.33812181710093,0,0.346573590279973,1.34892235123607,1.01820793046073,,1.4952332113893,0,0.21187025535653,1.64324700842648,0.483900126363486,3.56815001814079,1.25337644783337,0.314608915563108,,0.693147180559945,1.08390338997907,0,1.49337850059683,0.326001917119012,1.09861228866811,0.46591999683525,2.07944154167984,2.07188570437697,2.0966404288421,1.150999862253,1.75903095035412,0.771723262987742,0.902683400367403,0,,,0.461109931764242,0.918818030651796,1.69773472046299,0.549306144334055,2.78139665953088,2.45135424636556,0.202167927663317,1.13373246055405,0.353117092260883,0,1699.2,4391897.35716,3960489.78728,4441897.35716,3910489.78728,4404255.2,3935400.8
291,0.693147180559945,,1.44518587894808,,,1.44518587894808,,0.693147180559945,2.12424762102468,2.19101331733694,0.693147180559945,0.693147180559945,,,,,,,1.93560050545395,,2.17190271092684,,,,,,,,2.58524199751908,,2.2386684072391,1.15129254649702,0.895879734614027,,2.8872757727722,0,0,,0.972955074527657,,1.03972077083992,1.242453324894,,,2.35024018289621,,,,0.693147180559945,,,,0.693147180559945,,2.17190271092684,,,,1.77767403074471,2.22132562824516,2.09482737101321,1.99449202328214,,,,,,2.24990483516513,1.35402510055111,,,,,,,,2.39374587139102,,2.70582302592752,,,,1.93560050545395,,5.09643409081175,1.70059869083108,0.693147180559945,1.52226121886171,,3.31402068808977,2.67355376535873,0,,,0.346573590279973,,,0.693147180559945,,1.09861228866811,0,2.62874768601389,1.77767403074471,0.895879734614027,2.61555430842729,1.09861228866811,,,,,,,0.693147180559945,,2.35924943564755,0.346573590279973,,,,0.80471895621705,651,4391897.35716,3860489.78728,4441897.35716,3810489.78728,4426541,3853134
316,,,,,,,,,,3.91630472100437,1.1945063128187,,,,,,,,,,,0,1.55958115625988,,,,,,0,0.173286795139986,1.09861228866811,,0.346573590279973,,,,,0,,,0,1.75249845734259,,,2.21976463989455,1.46067554489129,,0.549306144334055,0,0,,,,,,,,,,0.670891948455858,,,2.89954632723026,0,,,0.231049060186648,0,,0,1.09861228866811,0,0.231049060186648,1.49993655677676,,,,,0.462098120373297,0.549306144334055,,,,1.15129254649702,,,0.414151108298,1.72159532464117,,2.47551635746577,,,1.58786547028796,,0.346573590279973,0.80471895621705,0.693147180559945,,,,,,,,,,1.09861228866811,0.693147180559945,0,0.462098120373297,,0.346573590279973,0,1.58902691517397,0,1.31952866480763,0.346573590279973,0.5364793041447,,,954,4441897.35716,4460489.78728,4491897.35716,4410489.78728,4461906,4456390
318,,,,0,,,0.693147180559945,,,1.09861228866811,1.50097176677663,,,,,,,0.693147180559945,,,,,2.0081712189919,,,,,,,0.549306144334055,0,,1.03972077083992,0.693147180559945,,,1.02358614055553,,,,0,1.76231371031396,,0,2.70800575270668,1.90221765729781,,1.02358614055553,0,,0,,,,0.693147180559945,,,,,0,,,2.72817139489957,2.30258509299405,,,,,,0.346573590279973,2.09482737101321,,,,,,0.693147180559945,0.693147180559945,1.2718990838081,0.895879734614027,,,,1.03972077083992,,,2.0755044524378,0,,1.84050263781493,,,,,1.70059869083108,0.693147180559945,1.63052319954254,,,1.38629436111989,,,0,,,,1.09861228866811,0.346573590279973,,0,,,0.693147180559945,0.402359478108525,,1.80085138027077,0,,1.13044714426226,,895.5,4441897.35716,4360489.78728,4491897.35716,4310489.78728,4471899,4345346.5
322,,,,,0.693147180559945,,,,,0.693147180559945,0.597253156409352,1.09861228866811,,,0.462098120373297,0.693147180559945,,0.693147180559945,,,1.38629436111989,1.2904003369693,1.86883480914168,,0,,,1.1945063128187,1.15524530093324,0.895879734614027,0.693147180559945,,1.09861228866811,,,1.38629436111989,1.29823921272255,0.621226662447,0.924196240746594,,,0.967800252726973,0.346573590279973,1.57289228488958,2.3636743299224,,,0,1.56584956564791,,,0.693147180559945,,,2.15257979235143,,,0.519860385419959,,1.09861228866811,,,1.3647815207407,,1.05935127678265,,,,1.79175946922805,1.38629436111989,0,,,0,,0.621226662447,1.56584956564791,0.447939867307014,2.16982801022317,1.54344652597548,,,,,,,0.173286795139986,0,0,2.40143878605771,,0.597253156409352,,,1.29823921272255,1.76746853211464,,0.346573590279973,1.06916652975401,0.967800252726973,,,0,0.693147180559945,,,0.924196240746594,0,,,0,,0.519860385419959,0.231049060186648,2.15905497445947,1.88608302701342,1.09861228866811,,0.693147180559945,,2189,4441897.35716,4160489.78728,4491897.35716,4110489.78728,4481100,4120900
324,,,0,,,,,,,,1.35402510055111,,,,,2.484906649788,,0,,,,,1.03972077083992,,,,,,1.6661022550876,,0,2.35924943564755,,2.07944154167984,,,0.693147180559945,,0.693147180559945,,0.346573590279973,1.03972077083992,,1.03972077083992,2.35924943564755,,,,0,,,0.895879734614027,,0.693147180559945,0.693147180559945,,,0,,2.35924943564755,,,0,,,,,,0.346573590279973,,,,,,,0,0,,1.58902691517397,,,,0.693147180559945,,,,,,,2.69908135075888,0,,,0,0,0,1.242453324894,0.693147180559945,,,,1.38629436111989,1.15129254649702,1.242453324894,0.346573590279973,,,,,,0.693147180559945,,1.497866136777,1.09861228866811,0.895879734614027,0.895879734614027,1.94591014905531,,0,,761,4441897.35716,4060489.78728,4491897.35716,4010489.78728,4485168,4058370
325,,,,0,0,1.38629436111989,,0.693147180559945,,0,2.09866140504722,0.173286795139986,,,0,0.732408192445407,0.414151108298,0.231049060186648,,,1.14655930074341,,2.00899590381888,0,0.346573590279973,,,,2.58598708313493,0.462098120373297,0.922237103836991,0,0.447939867307014,0.693147180559945,,0,0.539114473768846,0,0.85241737618336,,0,2.47098403879058,,1.672993809604,3.39045108866969,,,1.1945063128187,0,0,0.346573590279973,0.823206381313396,,0,0.809424545840956,0,,0,0,1.27635238985884,,,0,,,,,,0.486891848297098,,0.921300907349982,,,,,0.549306144334055,1.03664179692346,0,1.71737480741987,0,0,,0.346573590279973,,,,0,0,0,3.53228724173093,0.529675638391324,0,,,0.237592562167559,0.231049060186648,1.11840637997976,1.01117516930825,0,0.346573590279973,0.693147180559945,1.32496620269364,2.51594920708289,1.72601732794513,0.602416378390422,0,0,0,,,0.346573590279973,,2.1123565640574,2.05569430361578,2.21805478461802,1.67013524144613,0,,0,1.38629436111989,1758.33333333333,4441897.35716,4010489.78728,4491897.35716,3960489.78728,4446911.33333333,3982258.66666667
326,0,,,,0,2.09551512935619,,0,2.72336868583315,0,1.15129254649702,1.00633792268379,,,,1.83646277887599,0,0,,,0.346573590279973,,1.79175946922805,0,0,,,,2.4761217632173,1.05935127678265,1.35291151296376,2.14405413296642,0,,,,0.794513457586986,,0,,,1.242453324894,0,0.722592939474041,3.32642110863284,,,,0,,,0.693147180559945,,0,0.850299345415539,,,,0.346573590279973,1.55132011671917,,2.77258872223978,2.25153469982932,,,,,,0.231049060186648,,1.09861228866811,,,,,0,0.274653072167027,,1.44208024894844,,0,,0,,,0,0,0,0.549306144334055,3.10126775859396,0.231049060186648,0,,,0,0,0,0,,1.09550665866847,2.94443897916644,0.922219863528484,2.65410934009806,1.3701597308355,0.895879734614027,0,,,,,,,1.44518587894808,,2.35474480927188,1.57747956955663,0.231049060186648,,0,0.519860385419959,2239,4441897.35716,3960489.78728,4491897.35716,3910489.78728,4461200,3933200
327,0.635384915513283,0,0.755346488483175,0.346573590279973,,2.02203649894459,0.346573590279973,1.42489333982997,2.19488936397093,1.2904003369693,0.83205848597412,1.95184167524168,0.138629436111989,0.693147180559945,,2.07137291102625,0.404561705882941,0.715359297493211,0.549306144334055,,1.25063961640257,,1.41831753093433,,0.259930192709979,0.447939867307014,0.693147180559945,0,2.80013631377517,0.570222149202141,1.99121313407551,2.52392745051365,0.495886879382311,,0.693147180559945,1.74058202699462,0.661182505843081,0.415888308335967,1.52747529838294,,0.794513457586986,1.37857631415255,0.346573590279973,0.825521291288679,2.74127996715152,,0,0,0.629941664475369,0,,0.819245379331712,0,0.68239076037035,1.58473892844671,0,,0.337134754902451,1.33808420841852,1.48155934419854,0.828302216596,1.96662765406224,2.34450216142923,,,,,0,1.4015591943688,0,0.529675638391324,,,0,0,0.651315170823774,1.51567568205169,0.115524530093324,1.69785475211081,0,0.545657975749757,0.794513457586986,1.43211816234983,,0,0.507149799051982,0,0.629217831126216,0.719128297302614,2.45442344293969,1.36643459891339,0.308065413582198,,1.48843774486226,0.499288712258998,0.366204096222703,1.00752702043323,1.11647113667087,0,1.04386201290597,0,1.81017582162151,1.78394708547728,1.72988966058438,1.03991154533112,0.671909800960521,,,,,0,0,1.66704050172026,0.462098120373297,2.33524450764783,1.87544446103642,0.835436958323169,,0.321152417544018,1.25990171668991,1781.71428571429,4441897.35716,3910489.78728,4491897.35716,3860489.78728,4461751.57142857,3876931.85714286
328,1.03165345569772,0.346573590279973,1.12391720758269,0.462098120373297,0,0.306579673652402,0.346573590279973,1.11673046956039,1.38235727187786,0.321514334218595,1.44624790886101,1.24936062987781,0,,,1.0447356237794,0.576310287385943,0.264837819195662,0.693147180559945,0,0.465628946118221,0.80471895621705,1.22618025974405,,0.414151108298,0.549306144334055,0.895879734614027,0.693147180559945,2.14988543440739,0.26823965207235,1.07445422023402,1.72221874029613,0.361296469737021,0,,1.50990410267408,1.10899920529629,0.115524530093324,0.328593460751736,,0.545615651606321,1.16100561044793,,1.19815561971445,2.98410685479894,,0.298626578204676,0.845196596100507,0.253363415318069,0,0.298626578204676,0.183102048111352,0.693147180559945,0.366204096222703,1.59854227342456,0.693147180559945,,0.693147180559945,1.93103804108329,1.5780234162024,0.346573590279973,,1.38692664612963,0.756381698483055,,,,0.173286795139986,1.02947529233834,0,0.655015421456014,,,,0.274653072167027,0.765656905935046,1.89041453021139,0.529675638391324,2.62171206337656,0,0,0.693147180559945,0.66270971440377,,,0.693147180559945,0.4969813299576,0.933996152157513,1.19210330912199,2.94671284320813,1.09652306011202,0.138629436111989,,0.322600084242324,0.476820999830345,0.0866433975699932,1.08591430484844,0.476538686634962,,0.701225233493343,0.693147180559945,1.73194585963144,2.11182734270238,1.14438182947058,0.872675884085223,0.361108260940099,,,0,,0.606503782989952,,2.00814188548059,0,2.45114691914132,1.8622708902641,0.822406401501263,,0.346573590279973,0.346573590279973,2037.8,4441897.35716,3860489.78728,4491897.35716,3810489.78728,4459480.2,3833543
329,1.06916652975401,,0.519860385419959,,,0.95166562244258,,1.62071369591987,1.22962648470465,,0.749968278388378,1.72349466501272,0.549306144334055,,,0.942665301803309,,0,,0,0.483900126363486,1.02358614055553,1.06916652975401,,,,1.38629436111989,,1.97597915358096,0.895879734614027,1.49145190542855,2.27000096756204,0.173286795139986,,0,0.922219863528484,0,0,1.40829932253652,,0.366204096222703,1.52997983981043,,0.231049060186648,2.15020253177736,,,,1.13373246055405,,0,0.693147180559945,1.38235727187786,0.794513457586986,0.975444005650879,,,0.693147180559945,1.46481638489081,1.3647815207407,0.346573590279973,2.73025859712075,2.07944154167984,,,,,0.346573590279973,0.613159347304804,,0.549306144334055,,,,0,1.75249845734259,0.801592584120128,0,1.6275567525337,0,,0,0.794513457586986,,0.87968577653842,0.828302216596,1.2718990838081,0.89235837499319,0,2.90905399135006,0.992171837020412,0,,0.693147180559945,0.978005751357036,0,0.732408192445407,0,,,1.56682678859747,1.68545844871584,1.26880128640555,0.807683522044215,2.23724390196044,0.895879734614027,,,,1.38629436111989,0,1.10770419971083,1.35647206137833,,2.25530890444724,0.780355204520703,0.597253156409352,,0,1.09861228866811,1507,4441897.35716,3810489.78728,4491897.35716,3760489.78728,4466903,3805831.5
330,0.693147180559945,0,1.79175946922805,,,1.38235727187786,,0.549306144334055,1.09861228866811,0.231049060186648,1.84414780488383,1.96210410713092,,0.693147180559945,,,0.519860385419959,0.967800252726973,1.22282281895127,0.693147180559945,1.01140426470735,0.346573590279973,0.693147180559945,,0.173286795139986,0.895879734614027,,,3.54974907084387,1.06916652975401,3.00729826779999,2.8390903351859,1.0357680164037,0,0.693147180559945,1.97020108616873,0.575646273248511,0,1.71870969833358,,0.693147180559945,1.77583051563153,,1.08595135546342,3.48358214210074,,0,,0.693147180559945,0.693147180559945,,2.07944154167984,0.693147180559945,0.797915290463674,2.16268673652133,,,,2.80332641493092,1.34347595882239,0.963457252632055,1.91752421294188,0,,,0.346573590279973,,,2.30883942800358,,0.693147180559945,0,,0,,1.09861228866811,1.75973558671265,,2.95613436371945,,0.346573590279973,1.68397977210634,2.38224705947653,,1.09861228866811,1.24585515777069,1.89499426197914,1.96035111820693,2.2975599250673,3.17035559993638,2.07542374494013,0.173286795139986,,,1.09861228866811,,0.346573590279973,1.79175946922805,,0.833051127543801,0.693147180559945,2.93990569351132,2.91519141579173,1.06615494253602,2.40791978965149,0.173286795139986,,,,,0.549306144334055,,1.68438568295922,,3.14727872616756,1.42594561866405,0.655015421456014,,0.693147180559945,0.693147180559945,596,4441897.35716,3760489.78728,4491897.35716,3710489.78728,4487870,3746056.5
331,0.173286795139986,0,0.346573590279973,,,1.27052023070956,,1.60153898721708,2.99573227355399,0.173286795139986,0.374466534194249,1.36201636944781,0.231049060186648,,,1.497866136777,2.13230988507205,0.0866433975699932,1.77861835739301,0.558744979711577,1.71045272202652,1.39343880051666,0,0.366204096222703,0,0.462098120373297,1.4181935032865,1.34381960192104,2.91373044082763,0.0866433975699932,2.63158591882351,2.99188895768417,0.584166152447531,,2.11431514762147,1.64171003847217,0.452659284995775,0,1.91713457175788,,,1.29332906756611,0,0.356388843251338,3.07821688992131,,1.63509159281281,,0.693147180559945,,,,1.06564517013318,1.27623215695812,2.35828852700583,0,,0.223969933653507,2.65210247990527,1.7155879156237,0.341195380185175,2.23642956683279,1.6094379124341,,,0.820047631002335,,,1.350296032906,,0.122068032074234,,,1.42891018449121,,0,1.06111350195901,,1.87927536806415,,0,1.44873581326329,1.79001681312662,,1.38300264457748,0.899281567490715,1.35091693209992,1.91770519535913,0.629217831126216,1.92470030152001,1.19112352973827,0.621226662447,,,0.548270934334175,0,,0.693147180559945,,0.461886339264152,0.895879734614027,2.20734412325922,2.4106789586095,1.73857470262737,1.68273314854241,0.840571282810207,,,,,,1.31437384300695,1.21181151256025,,2.70340588162934,0.991381142173314,0.922219863528484,,,1.08843536473242,1840,4441897.35716,3710489.78728,4491897.35716,3660489.78728,4485757.75,3702186
