"species","pa_A","pa_B","pa_C","pa_D","abu_A","abu_B","abu_C","abu_D","P_D"
"Acrocephalus_palustris",0.620762622759324,0.608916568452512,0.278150510862701,0.262014567886228,0.524365729996778,0.396177484133713,0.115141459366072,0.230660359916904,25
"Acrocephalus_schoenobaenus",0.377098812666575,0.361080207714477,0.0544048031746582,0.0556841917197475,0.231403610926732,0.137313680802972,0.254863427822464,0.162699031358904,23
"Acrocephalus_scirpaceus",0.514262761707058,0.465584470034765,-0.175586795084868,-0.19417301528045,0.313455615800726,0.0922613521686119,-0.139636076438864,-0.136523138408038,37
"Actitis_hypoleucos",0.167483181196734,0.110041740532213,0.0802760095791661,-0.0754486186008965,0.293182914853033,0.0579555610992367,-0.0663958127206267,-0.116380264174504,60
"Aegithalos_caudatus",0.363673072101973,0.350930304776276,-0.0389634343546279,-0.0571638340278386,0.402108442468863,0.213907681470024,0.371057496330251,-0.529800910675611,12
"Alauda_arvensis",0.799436712899318,0.792031139254719,-0.123380349178619,-0.135873602246163,0.67173329110301,0.650211889768965,-0.0365196238583725,0.0293479344542776,83
"Anas_crecca",0.201741241368199,0.159910933792441,-0.107263618881018,-0.0736640367372159,0.239554562833244,-0.00367663952470182,-0.0870877758609506,-0.240824785736426,19
"Anas_platyrhynchos",0.613766298746674,0.578105145184551,-0.060959639132735,-0.0623001375473103,0.509257215852791,0.444882072826489,0.120680738286023,0.0116655745421255,91
"Anser_anser",0.555886446200552,0.503287866428834,0.347719218344316,0.326225399433662,0.378888057899169,0.323074569744375,-0.269391523991566,-0.313410351216516,29
"Anthus_pratensis",0.733914618531177,0.681654180361819,0.0756313526740941,0.0419050091409948,0.772409732287222,0.716146292007303,0.361095023573058,0.383125303945029,86
"Anthus_trivialis",0.699593242567508,0.647884247612316,-0.0913469538246131,0.0646106790898544,0.623908890596905,0.586348665695695,-0.0281283724458416,-0.0172120932053667,218
"Apus_apus",0.666845019024783,0.640405917876264,0.0139954330207183,0.0233988421092625,0.448285355807527,0.424249511421695,0.0902229774739923,-0.0413390425562689,104
"Ardea_cinerea",0.504535156893821,0.483751761656877,-0.0977067665284908,-0.0595586662628821,0.316978377840022,0.255491467107233,0.0925930382410871,0.100999371985254,29
"Aythya_fuligula",0.284628055289375,0.248213281806035,-0.0139031462710716,0.02298316061317,0.397378399515394,0.296331391221306,-0.421205804941583,-0.00342267980919246,17
"Bonasa_bonasia",0.490021628480261,0.457496749159833,-0.213538653907186,-0.203920800040624,0.156975098136718,-0.0407339062263241,0.0889400105042345,-0.0347498802544973,4
