"species","pa_A","pa_B","pa_C","pa_D"
"Acrocephalus_palustris",0.620710235101167,0.609029231789336,0.274989473216743,0.267450051776968
"Acrocephalus_schoenobaenus",0.373384202301079,0.361529060676494,0.0287629705658935,0.0594515374834185
"Acrocephalus_scirpaceus",0.517589299113545,0.459045070934966,0.0186038556532843,-0.189208991673413
"Actitis_hypoleucos",0.162625108724933,0.0937523161201594,0.173605415656672,-0.0559902050998375
"Aegithalos_caudatus",0.363626800536272,0.33738927693929,-0.0340102668621067,-0.0705887910001609
"Alauda_arvensis",0.790805188685942,0.794018080609413,0.434346280982737,-0.14312898277966
"Anas_crecca",0.203742139251079,0.153511166315537,-0.0990763551748494,-0.0770327912041052
"Anas_platyrhynchos",0.614219087268182,0.567335401020432,-0.0299879747235606,-0.054832993365232
"Anser_anser",0.560461671621211,0.500607453915271,0.369358758460185,0.316474371605075
"Anthus_pratensis",0.734571764894988,0.684850339432178,0.0703302818296342,0.0452802717764751
"Anthus_trivialis",0.697844153303148,0.64987348849771,-0.200614851612665,0.0693796738283479
"Apus_apus",0.668046649426398,0.638597095281397,0.118069300566971,0.0228927117756669
"Ardea_cinerea",0.50452707065064,0.484311039014919,-0.136712011826876,-0.0533707709960899
"Aythya_fuligula",0.285292835972286,0.256551253768182,-0.0292564097450453,0.0257738728356013
"Bonasa_bonasia",0.488949042802336,0.467639403869291,-0.202015738921533,-0.218050952724618
"Branta_canadensis",0.46760533716342,0.411906736496565,0.0476710739569786,0.0414670662694705
"Bucephala_clangula",0.379212316205337,0.290880573934344,0.119402666249693,0.0404586177571223
"Buteo_buteo",0.665904095597158,0.630043173072585,0.140167584933167,0.162459440560983
"Carduelis_cannabina",0.690287490973251,0.678224511598042,0.205335866903832,-0.22044239252079
"Carduelis_carduelis",0.652127761755666,0.620393354903374,0.444483931135885,0.373022288054326
"Carduelis_chloris",0.745708430790516,0.712663789402363,-0.0407259809073871,-0.121376072573214
"Carduelis_flammea",0.616216689815002,0.607990391267374,0.184657166226195,0.0477191938934394
"Carduelis_spinus",0.580833280934853,0.548838643346421,0.0239046188360249,0.0416872011059286
"Carpodacus_erythrinus",0.439322740202539,0.40023916013782,0.278450780165061,0.14766581317282
"Certhia_familiaris",0.630572659724037,0.59892293760022,-0.0719606298744738,-0.0879390069217449
"Coccothraustes_coccothraustes",0.492296859085962,0.448977048661787,0.168677988730612,0.159348411888394
"Columba_livia",0.572179199361407,0.541495175130086,-0.0860786073370699,0.300553995809862
"Columba_oenas",0.525144882119204,0.454477374592422,-0.100180971382449,-0.0497718121800115
"Columba_palumbus",0.852340493149764,0.839971789510658,-0.0298214338257703,-0.0361347911546419
"Corvus_corax",0.277711215897909,0.159398891118628,-0.0336053635708515,0.000152959812754146
"Corvus_corone",0.659174157469725,0.636835232277429,0.0751132390886701,0.144028643706837
"Corvus_monedula",0.800728955393535,0.779807789091697,0.18356192129718,0.191129138760814
"Cuculus_canorus",0.274930493975305,0.143859826046244,0.0927990507173157,-0.0827283104706892
"Cygnus_cygnus",0.451329954616639,0.443321829756579,0.170615861897659,0.103431311971041
"Cygnus_olor",0.667318440667479,0.634257672631188,0.0309356466684423,-0.119341793991977
"Delichon_urbicum",0.531720882082031,0.519569513614362,0.174900401267655,0.0600856745829107
"Dendrocopos_major",0.756244876937367,0.749533792423688,0.036355111815698,0.0921102878771255
"Dryocopus_martius",0.635716906119068,0.57125636055767,0.0499369469595341,-0.0423061858394941
"Emberiza_citrinella",0.791656255609965,0.766267896826336,0.143634099219633,-0.199457446991375
"Emberiza_rustica",0.486602042719747,0.429146752728332,0.155758663828136,0.114993502598235
"Emberiza_schoeniclus",0.340627614194083,0.287167260468544,0.0298954527295826,-0.00762831352940673
"Erithacus_rubecula",0.779650335949936,0.757262626519781,0.157826604096983,0.198702364044227
"Falco_tinnunculus",0.242104023188447,0.209268463516541,-0.034065610589158,-0.0193952310026702
"Ficedula_hypoleuca",0.628178430435843,0.591354729018952,0.0546387933046867,-0.0424727570187533
"Fringilla_coelebs",0.833438885368027,0.800855051921974,0.321770131691523,0.337141359092109
"Fringilla_montifringilla",0.773645157099819,0.74484702229148,0.263428174041672,0.325090928529351
"Fulica_atra",0.477600137429902,0.427732929744259,0.0981496950095593,-0.0798984146437835
"Gallinago_gallinago",0.321609918252124,0.272234662440715,-0.147711666246101,-0.0623134836464735
"Garrulus_glandarius",0.725908165637578,0.652840718292574,0.0288233860531562,-0.0303113714439086
"Gavia_arctica",0.304793486374666,0.263036209589604,0.0781530302220463,0.0366375502705753
"Gavia_stellata",0.2133571501087,0.188138232160341,0.0588449976990711,0.00506259785087839
"Grus_grus",0.549815159528702,0.468529517909006,0.18739893804093,-0.0240400129091027
"Haematopus_ostralegus",0.64399775763737,0.608649530468766,-0.204260777955126,-0.204895627015806
"Hippolais_icterina",0.5680650015825,0.555409155736862,-0.0665019408635716,-0.0814537239334918
"Hirundo_rustica",0.746480529459804,0.733189527026261,0.0343116590278775,0.0676536487113514
"Jynx_torquilla",0.335382221914036,0.254061014279753,0.0612266000608623,-0.0133105318541555
"Lagopus_lagopus",0.528466264875161,0.490753689967364,0.182357562850902,0.200984321312157
"Lanius_collurio",0.52596285183554,0.495361168117295,0.0969861241573043,0.0132334091418683
"Larus_argentatus",0.611963497759203,0.598102540557702,0.183762835412277,-0.124033417036632
"Larus_canus",0.475527161258292,0.366389182963474,0.0044215489495446,0.0531987700345257
"Larus_marinus",0.679790079566914,0.652803106717652,-0.243578602521687,-0.209089745267427
"Larus_ridibundus",0.626390556229118,0.601196926184783,0.00702002767852587,0.037922753180367
"Loxia_curvirostra",0.641952671426694,0.591308392577079,-0.0971639305610014,-0.0172243921647983
"Loxia_pytyopsittacus",0.342967628109024,0.308700867274489,0.156496781750006,0.0922388370438986
"Lullula_arborea",0.341039933088349,0.308934031719729,0.0954843240061387,0.0354036595674247
"Luscinia_luscinia",0.681531025988263,0.643560630473341,-0.171039045123617,-0.227207084183201
"Luscinia_svecica",0.717176669582484,0.67751372685663,0.252573180185426,0.232069524882192
"Mergus_merganser",0.35476204870653,0.310902528050816,0.190541210374148,0.113599140792005
"Motacilla_alba",0.761871917364814,0.750577060205741,0.140253794381136,0.0254687860712349
"Motacilla_flava",0.607432344563189,0.545884062927447,0.194995929220073,0.238032509260221
"Muscicapa_striata",0.538241052803019,0.501549412353845,0.0477948340891844,-0.00739997243218153
"Numenius_arquata",0.385207359211009,0.370400658920984,0.181502763565614,0.148150947944222
"Numenius_phaeopus",0.477491140917247,0.439642884937658,-0.0314951793323154,-0.0469356703766325
"Oenanthe_oenanthe",0.68527078532166,0.676327807585672,0.0760467825855029,0.0446726691618808
"Pandion_haliaetus",0.237015442063391,0.207099031120752,0.128914068933425,0.156705736329434
"Parus_ater",0.632102263591453,0.557702750417532,-0.105344469649384,-0.0953889998078832
"Parus_caeruleus",0.821141700264456,0.773831291503874,0.0312813473050799,0.0478277265202903
"Parus_cristatus",0.65171216579666,0.625498860407509,0.0463340195797572,0.0556770550027996
"Parus_major",0.85373314042706,0.830876595819206,0.356321574989175,0.262655456140303
"Parus_montanus",0.511904944574509,0.487933821493799,0.0711473264704309,0.0477583391197061
"Parus_palustris",0.491965287740186,0.440470390632726,-0.0546447077296552,-0.0572636485429605
"Passer_domesticus",0.680944864925635,0.673538758146384,0.11980928489033,-0.00907514899739125
"Passer_montanus",0.774166790323043,0.756947408661586,-0.118376620362024,-0.0966335966868214
"Perisoreus_infaustus",0.625374266520968,0.593142265896525,0.147220474797149,0.0620276111858657
"Phalacrocorax_carbo",0.680185022791683,0.669102486118047,0.210138778057713,0.19113777876777
"Phasianus_colchicus",0.649526959785919,0.608767090519737,0.219150821566089,-0.329498034622843
"Phoenicurus_phoenicurus",0.422523120222297,0.369869744257201,0.0634022089122631,0.0838236121619301
"Phylloscopus_collybita",0.346296349464246,0.16751238473921,0.207427938323814,-0.0303934843088979
"Phylloscopus_sibilatrix",0.664819108239118,0.609059753059931,0.0631770411930726,-0.0250635996087377
"Phylloscopus_trochilus",0.513312836688154,0.363990573932004,0.061072411530622,0.0315588468558532
"Pica_pica",0.76727513304927,0.757514184214912,-0.0616777100019075,-0.0472582477937943
"Picus_viridis",0.551211813089268,0.520932301996991,-0.050038374392691,-0.0675688019094111
"Pluvialis_apricaria",0.737150683878139,0.707915926444797,0.0931156522222514,0.0863363216380353
"Podiceps_cristatus",0.405148708982019,0.321470435046977,0.0790486072446316,-0.0582929668281913
"Prunella_modularis",0.478006596337986,0.425005483521293,-0.124322336775011,-0.113402340308608
"Pyrrhula_pyrrhula",0.416995111757677,0.399182239903196,0.149290527645565,0.156292200007233
"Regulus_regulus",0.708202758519625,0.663194224026187,-0.062220262112492,-0.101958989879963
"Saxicola_rubetra",0.521779216528432,0.512001857673371,0.0792129356993814,-0.0147303121687135
"Scolopax_rusticola",0.359868376544164,0.269433605854871,0.0266373182582926,-0.0271609443343972
"Sitta_europaea",0.69033681516768,0.61669412777785,0.115054922018556,0.142690396736157
"Sterna_hirundo",0.442698595118383,0.382570273272324,0.036307797613134,-0.0025776963947473
"Sturnus_vulgaris",0.838040192589288,0.818003577428058,-0.045447074327182,-0.0546603860139999
"Sylvia_atricapilla",0.846181179064336,0.799578400895812,0.240111447229622,0.20212921619236
"Sylvia_borin",0.791646066748545,0.773462041747262,0.0858691265806981,0.0263930411712714
"Sylvia_communis",0.775745772478656,0.766417083396762,0.00430719604001489,0.0467103536210268
"Sylvia_curruca",0.690758740600642,0.673668291231538,0.0782932927530931,0.0516829268779299
"Tetrao_tetrix",0.478056874395147,0.451360762790536,0.0629458990195071,0.0258492865342523
"Tetrao_urogallus",0.614639353189192,0.612195712404896,0.0484749963126966,-0.00145198230676456
"Tringa_glareola",0.692715750940152,0.639614099831238,-0.00722084596589428,-0.0224624911309753
"Tringa_nebularia",0.56875089316924,0.518088003153672,0.0482834308846386,0.0483331347136401
"Tringa_ochropus",0.673630818027389,0.649595450169038,0.0876998684265748,0.049846862163584
"Tringa_totanus",0.546241837627363,0.492223952140815,-0.152064167461007,-0.175663270276808
"Troglodytes_troglodytes",0.771174179179745,0.734486671984135,0.150530165250083,0.0658160617709435
"Turdus_iliacus",0.508221019103938,0.462301604119169,0.0802812280104807,0.0588158256751189
"Turdus_merula",0.862675970578788,0.846704292240352,0.339443002345806,0.32820285644712
