"Route","Year"
"Route_0000000058","Year_2011"
"Route_0000000058","Year_2013"
"Route_0000000059","Year_2009"
"Route_0000000059","Year_2011"
"Route_0000000059","Year_2013"
"Route_0000000059","Year_2014"
"Route_0000000060","Year_2006"
"Route_0000000060","Year_2009"
"Route_0000000060","Year_2010"
"Route_0000000060","Year_2011"
"Route_0000000060","Year_2012"
"Route_0000000060","Year_2013"
"Route_0000000060","Year_2014"
"Route_0000000061","Year_2006"
"Route_0000000061","Year_2011"
"Route_0000000061","Year_2012"
"Route_0000000061","Year_2013"
"Route_0000000061","Year_2014"
"Route_0000000062","Year_2007"
"Route_0000000062","Year_2011"
"Route_0000000062","Year_2014"
"Route_0000000063","Year_2009"
"Route_0000000063","Year_2012"
"Route_0000000063","Year_2013"
"Route_0000000063","Year_2014"
"Route_0000000064","Year_2008"
"Route_0000000064","Year_2010"
"Route_0000000064","Year_2014"
"Route_0000000065","Year_2007"
"Route_0000000065","Year_2009"
"Route_0000000065","Year_2014"
"Route_0000000066","Year_2006"
"Route_0000000066","Year_2010"
"Route_0000000066","Year_2014"
"Route_0000000067","Year_2006"
"Route_0000000067","Year_2010"
"Route_0000000067","Year_2011"
"Route_0000000067","Year_2012"
"Route_0000000067","Year_2013"
"Route_0000000067","Year_2014"
"Route_0000000068","Year_2006"
"Route_0000000068","Year_2010"
"Route_0000000068","Year_2012"
"Route_0000000068","Year_2014"
"Route_0000000069","Year_2006"
"Route_0000000069","Year_2009"
"Route_0000000069","Year_2010"
"Route_0000000069","Year_2011"
"Route_0000000069","Year_2012"
"Route_0000000069","Year_2013"
"Route_0000000069","Year_2014"
"Route_0000000070","Year_2008"
"Route_0000000070","Year_2009"
"Route_0000000070","Year_2010"
"Route_0000000070","Year_2011"
"Route_0000000070","Year_2013"
"Route_0000000071","Year_2006"
"Route_0000000071","Year_2009"
"Route_0000000071","Year_2014"
"Route_0000000072","Year_2006"
"Route_0000000072","Year_2011"
"Route_0000000072","Year_2013"
"Route_0000000075","Year_2008"
"Route_0000000075","Year_2010"
"Route_0000000075","Year_2011"
"Route_0000000075","Year_2012"
"Route_0000000075","Year_2013"
