"Route","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","routeid","x","y"
"Route_0510819101",0,0,0,0,0.25,1,0,0.5,0.5,1,0,0,0.5,0,0,0,0,0.25,1,0.25,1,0,0.5,0,0.25,0.75,0,0.5,1,0.5,0.75,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0.25,0,1,0.5,0,0,0.5,0,0,0,0,0,0,0.5,0.25,0.25,0,0,0,0.75,0,0,0,0.5,0,0,0,0,0,0,1,0.75,0,1,0,0.75,0,0,0,0.25,1,0,0.5,0,0.5,0,0.25,0,0,1,0.5,0.75,0,0,1,0,0.75,0.25,0,0,0,0,0,0,0,0.5,0.75,1,1,1,1,1,0.25,0,0.5,2392,4727600,3744500
"Route_0510823102",0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0.5,0.25,1,0,0,0,0.75,0,0.75,0.5,1,1,0,0.25,0,0,0.75,0.75,0.5,0,0,0.5,0,1,1,0.5,0,0,0.25,0,0,0.25,0,0,0,0.25,0,0,0,1,0,0.75,0.5,0,0,0,0,0,0,0.25,0.5,0,0,0.5,0,0.25,0.75,0,0.75,0.5,0,0,0,0.5,0,0,0,0.5,0,1,1,0,0,0,0.5,0.75,1,1,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0.75,0.75,0,0.75,1,0,0,0,2393,4495600,4476800
"Route_0511113101",1,0,0.5,0,0,1,0,1,0,0.25,0.5,1,0.25,0,0,0,0.75,0.75,0.75,0,1,0,0,0,0.25,0.25,0.25,1,1,0.5,1,1,1,0,0,0.75,0.75,0,1,0,0.75,0,0.75,0.25,1,0,0,0,0,0,0,0.25,0.25,0,0.5,0,0,0,1,1,0.25,1,0,0,0,1,0,0,0.75,0.25,0.25,1,0,0,0.25,0,1,0,1,0,0,0.5,0.5,0,0.25,1,0,0,0,0.75,1,0,0,0,0,0,0,0.5,0,0.25,0,1,0.75,1,1,0,0,0,0,0,0,0,0,0,1,0.25,1,0,0,1,2397,4493100,3737100
"Route_0520328102",0,0,0,0,0,1,0,0.5,0,1,1,0,0,0,0,1,0.25,0.75,0.75,0.75,1,0,0.25,0,0,0.25,0,0.5,1,1,1,1,0,0,0,0,0.5,0.75,1,0,0.25,0.75,1,0,1,0,0,0.75,0.75,0,0,1,0,0,0.25,0,0,0,1,0.25,0,0.25,0,0,0.5,0,0,0,1,0,0,0.5,0,0.5,0,0.5,1,0,1,0,0,0,0,0,0,0.5,0,0,0,1,0.75,1,0.25,0,0,0,0.75,0.75,0,0.75,0,1,0.5,0,0,0,1,0,0,0,0.25,0,0.5,1,1,1,1,0,0.75,1,2400,4549100,3920200
"Route_0530327101",0.666666666666667,0,1,1,0,1,0,1,0,0.333333333333333,0,1,0,0.666666666666667,0,1,1,0.666666666666667,0,0,1,0,0.333333333333333,0.333333333333333,0.666666666666667,0,0,0.333333333333333,1,0.666666666666667,1,1,0.333333333333333,0,1,0.333333333333333,0.666666666666667,0.666666666666667,1,0,1,1,0,1,1,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0,1,0.666666666666667,1,0.333333333333333,0,0,1,1,1,0.666666666666667,0.333333333333333,0,0,0,0,0.333333333333333,1,0,0,0,0,1,0.333333333333333,1,1,0,1,0,0.333333333333333,1,1,0,0,1,0.333333333333333,0,0.666666666666667,1,1,1,0,1,0.666666666666667,0,0.666666666666667,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0.333333333333333,0,1,0.666666666666667,1,0,0.666666666666667,1,2408,4457700,3822100
"Route_0530515102",0,0,0,0.75,0,0,0,0.75,0,0,0.5,0.5,0,0.5,0,1,1,0,0,0,1,0,1,0.75,0,0,0,0,1,0.5,1,0.75,0.5,0,0,1,0.5,0.25,1,0,0.25,1,0,1,1,0.25,0,0.25,0.25,0,0,0,0,0.25,0.5,0,0,0,0,1,0,1,0.5,0,0,0,0,0,1,0.25,0.25,1,0,0,0,0.25,1,0,1,0.25,0,1,0,0,0,0,1,1,0.5,1,1,0,0,0,0.75,0.75,0.25,0,0,0,0,0,0,0.5,0,0.25,0,0,0.25,0.5,0,0,0.5,1,1,0.75,1,0,0,0.75,2412,4678000,4470600
"Route_0530519101",0.25,0,0.25,0,0,1,0,0.5,0.75,0.5,1,0.75,0,0,0,0.5,0.25,0.5,0.75,0,1,0,0.75,0.25,0.5,0,0,0,0.5,0.5,1,0,1,0,1,0.75,0.5,0.5,1,0,0,1,0,0.75,1,0,0,0,0,0,0,0,0.75,0.75,0.75,1,0,0.25,0.75,1,0,1,0,0,0,1,0,0.75,1,0,0,0,0,0.5,0,0,1,0,1,0.5,0,1,0,0,0.75,0,1,0.25,0.75,1,0.25,0,0,0,0.5,0,0.5,0,0,0.5,0,1,0.75,0.75,0.75,1,0,0,0,0,0,0.75,0.75,0,1,1,0.25,0,0,1,2413,4722200,3877000
"Route_0530927101",1,0.25,1,0,0.25,1,0.25,1,1,1,0.25,1,0.75,0,0,0,0.25,1,1,0,1,0,0,0,0,0.25,0,1,1,0.25,1,1,1,0,0.25,1,0.75,0.25,1,0,1,0.5,0.5,0,1,0,1,0.25,0,0,0,0,0.75,0.75,1,0,0,0,1,0.25,0.25,1,0,0,0,1,0,0.25,1,0.75,0,0,0,0,0.25,0,1,0,1,0,0.5,0.5,1,0,0.25,1,1,1,0,1,1,0.25,0,0,0.25,0,0,0.75,0,0,0.75,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0.5,1,0,0,1,2437,4523000,3611800
"Route_0530927102",1,0,0.25,0,0,1,0,0.5,0.25,0.25,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0.25,0,0,0,1,0.75,1,1,1,0,0,0.75,0.25,0,1,0,0,0.75,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0.25,0.25,0,0,0.25,0,0,0,0.75,0,0,0.25,0,0.25,0,0,0,0,0,0.5,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0.75,0,0.5,0.75,0,0,0,1,1,1,1,0.25,0,0,0,0,0,0,1,0,1,1,0.5,0,0,1,2438,4532200,3649700
"Route_0531021102",0,0,0,0,0.333333333333333,0,0,0,0,0,1,0.333333333333333,0,0,0,0,0,0.333333333333333,0,0,1,0,1,0,0.666666666666667,0,0,0,1,0.333333333333333,1,0.333333333333333,1,0.333333333333333,0,0.333333333333333,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0.666666666666667,0,0,0.666666666666667,0,0,0,0,0,0.666666666666667,0,1,0,0,0,0,1,1,0,1,0.666666666666667,0.666666666666667,0,0,0,0,0,0.666666666666667,0,1,1,0.333333333333333,0.333333333333333,0,0,1,0.666666666666667,1,0,0,0.333333333333333,0,0.333333333333333,1,1,0,1,0.666666666666667,0,0,0,1,0,1,0,1,1,0.666666666666667,0,0,0,2440,4571700,3723000
