"Route","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","routeid","x","y"
"Route_0000001002",1.497866136777,0,NA,NA,NA,2.29923498104288,NA,1.73286795139986,NA,NA,NA,1.70059869083108,NA,NA,NA,NA,0,0.693147180559945,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9012608248854,NA,1.42555537300535,3.40119738166216,1.22962648470465,NA,0.693147180559945,0.693147180559945,NA,NA,0,NA,0.346573590279973,NA,0,NA,1.05935127678265,NA,NA,NA,NA,NA,NA,NA,0.346573590279973,0.5364793041447,0.80471895621705,NA,NA,NA,0.549306144334055,1.99449202328214,0,0.693147180559945,NA,NA,NA,1.59583058092735,NA,NA,0.597253156409352,1.3647815207407,NA,NA,NA,NA,NA,NA,1.03972077083992,NA,1.03972077083992,NA,NA,2.14857327312853,2.27623735721389,NA,NA,1.46067554489129,0.597253156409352,0.549306144334055,NA,0.231049060186648,1.2904003369693,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0.963457252632055,0.462098120373297,0.693147180559945,2.21546350494924,0.693147180559945,NA,NA,NA,NA,NA,NA,NA,NA,1.59583058092735,0,0,NA,NA,1.52226121886171,564,4521166,3636537
"Route_0000001004",2.17190271092684,NA,NA,NA,NA,4.22359990979785,NA,1.44518587894808,NA,1.73286795139986,0,2.09482737101321,NA,NA,NA,NA,NA,1.15129254649702,2.07944154167984,NA,0.549306144334055,NA,NA,NA,NA,NA,0.895879734614027,0.693147180559945,3.1073040492111,NA,3.3961722137354,2.44140096129319,0.895879734614027,NA,NA,NA,NA,NA,2.34106561356211,NA,0.693147180559945,NA,0,0,0.80471895621705,NA,NA,0,NA,NA,NA,NA,NA,NA,2.59647842544511,NA,NA,NA,1.70059869083108,NA,NA,NA,NA,NA,NA,2.21540839942166,NA,NA,1.74825378073324,0.972955074527657,NA,0.346573590279973,NA,0.693147180559945,NA,NA,0.693147180559945,NA,1.497866136777,NA,NA,3.55941312453104,2.7212088552609,NA,NA,0.895879734614027,0.549306144334055,NA,NA,1.38629436111989,1.09861228866811,NA,NA,NA,NA,NA,NA,0.549306144334055,NA,NA,NA,2.49521629338937,0.549306144334055,0,3.33728069590721,0.549306144334055,NA,NA,NA,NA,NA,NA,NA,NA,1.70059869083108,NA,NA,NA,NA,1.73286795139986,566,4575321,3612900
"Route_0000001006",0.693147180559945,NA,NA,NA,0.693147180559945,0,NA,NA,0.693147180559945,NA,1.75937155307684,NA,NA,NA,NA,NA,NA,0.597253156409352,1.38629436111989,NA,0,NA,0,NA,0.231049060186648,0.597253156409352,NA,1.38629436111989,2.79033689374605,0.693147180559945,1.3647815207407,2.03493107747166,1.2904003369693,NA,NA,NA,1.30400766847605,0.549306144334055,1.67021176469875,NA,NA,2.10087299191497,NA,1.22962648470465,3.52696212537598,NA,NA,NA,1.38629436111989,NA,NA,0.828302216596,NA,1.09861228866811,0.693147180559945,NA,NA,NA,2.70805020110221,NA,NA,NA,0.693147180559945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09861228866811,1.1945063128187,NA,2.18559278538601,NA,0,NA,NA,NA,NA,NA,1.1945063128187,2.63612905309668,1.64721414086977,3.62232238907091,1.242453324894,0,NA,NA,0.895879734614027,NA,1.09861228866811,0,0,1.242453324894,NA,2.07419208935712,3.10651781898317,2.18369344501447,2.0228085294147,0,NA,NA,NA,NA,0.346573590279973,NA,2.86192866096062,NA,3.08764427403178,2.68025633145586,NA,NA,0,0,568,4572998,3640790
"Route_0000001007",0,NA,NA,NA,NA,1.826879641114,NA,1.242453324894,1.38629436111989,NA,NA,2.56494935746154,0.693147180559945,NA,NA,NA,NA,0,1.7309856169634,1.86883480914168,2.52279308927884,NA,NA,NA,0,NA,1.64791843300216,NA,4.30007310880773,NA,2.928258197387,4.08761032644959,1.24588987276112,NA,1.09861228866811,2.51194026042314,NA,NA,0,NA,NA,0.346573590279973,NA,NA,1.55132011671917,NA,NA,NA,NA,NA,NA,NA,1.18511602049647,NA,2.93820918510357,NA,NA,0,2.27623735721389,3.44051325871659,NA,NA,NA,NA,NA,2.74582642953788,NA,NA,1.67021176469875,NA,NA,NA,NA,NA,NA,NA,2.22485379727148,NA,2.60466522500093,NA,NA,3.19860227785922,1.69172460507794,NA,0,1.46067554489129,2.48258376001597,2.2674649211081,NA,2.23234474922216,2.84566527290414,NA,NA,NA,0,NA,NA,0,NA,NA,NA,2.68462902787274,2.75107588186059,1.22962648470465,2.98489120965214,1.15524530093324,NA,NA,NA,NA,NA,NA,0.828302216596,NA,3.60563137641014,0,2.62617806538012,NA,NA,NA,569,4495246,3658462
"Route_0000001013",NA,NA,NA,NA,NA,NA,NA,0,0.693147180559945,NA,0.462098120373297,1.44518587894808,0,NA,NA,NA,NA,0.346573590279973,NA,1.38629436111989,1.22962648470465,NA,1.26139654463942,NA,0,NA,NA,NA,3.21499195246138,0.366204096222703,1.3647815207407,NA,0,NA,NA,NA,0.462098120373297,0,0.597253156409352,NA,NA,1.826879641114,NA,1.4391627045121,4.17932099088209,NA,NA,NA,0.963457252632055,NA,NA,NA,NA,0,0.693147180559945,NA,NA,NA,NA,NA,NA,NA,0.693147180559945,NA,NA,NA,NA,NA,0.693147180559945,NA,NA,NA,NA,NA,NA,NA,2.0228085294147,0,2.11345310124258,NA,0.462098120373297,NA,NA,NA,NA,NA,0.346573590279973,0.231049060186648,0.597253156409352,4.11402948314921,0.963457252632055,NA,NA,NA,0.231049060186648,NA,2.07419208935712,NA,NA,1.15524530093324,NA,NA,3.3985199910964,0.963457252632055,0.231049060186648,0,NA,NA,NA,NA,0.346573590279973,NA,2.58965201484611,NA,3.02522182288319,1.3647815207407,NA,NA,NA,NA,575,4541088,3686303
"Route_0000001022",0,NA,NA,NA,NA,3.727359974682,0.693147180559945,1.62904826901074,1.242453324894,0.895879734614027,0.693147180559945,3.38424660582431,NA,1.6661022550876,NA,NA,NA,0.346573590279973,2.92177220851568,NA,2.19722457733622,NA,NA,0.693147180559945,NA,0,1.62904826901074,2.30258509299405,3.10126775859396,0,1.35402510055111,2.04717228111105,1.03972077083992,NA,1.93560050545395,3.40119738166216,NA,NA,2.67116712598241,NA,1.09861228866811,0,NA,NA,1.58902691517397,NA,0,NA,NA,0,NA,NA,2.10975385258805,1.38629436111989,3.55819707204673,0,NA,0,3.08270892711571,3.44682817730132,NA,3.57535072879626,NA,NA,0,2.35924943564755,NA,0.693147180559945,1.44518587894808,NA,0.693147180559945,1.03972077083992,NA,1.95601150271407,NA,NA,0.346573590279973,NA,1.242453324894,NA,NA,2.83321334405622,2.07944154167984,NA,2.11705325229863,1.242453324894,1.6094379124341,0.693147180559945,NA,2.19101331733694,0,NA,NA,0,0,NA,NA,0.693147180559945,NA,NA,NA,3.86420788992052,0.346573590279973,0.895879734614027,1.86883480914168,0.693147180559945,NA,NA,NA,NA,1.09861228866811,1.242453324894,0,NA,2.01267584536757,0,0.693147180559945,NA,NA,1.77767403074471,584,4716553,3700608
"Route_0000001023",0.346573590279973,0,NA,NA,NA,1.58902691517397,NA,0.549306144334055,NA,0.346573590279973,0.80471895621705,1.79175946922805,NA,NA,NA,NA,NA,0,2.04717228111105,0.895879734614027,1.242453324894,0,NA,NA,0,0,2.06356719252255,NA,3.01534263013063,0,2.61555430842729,2.70805020110221,0.693147180559945,NA,NA,1.31952866480763,0.895879734614027,NA,2.57083177825133,NA,NA,1.38629436111989,NA,0,3.03421279412206,NA,NA,NA,NA,NA,NA,NA,NA,2.43376722522779,3.00317657980087,NA,NA,0,3.18151405177023,NA,0,1.6094379124341,NA,NA,NA,0.693147180559945,NA,NA,1.44518587894808,NA,0,NA,NA,1.03972077083992,NA,NA,0.346573590279973,NA,2.21540839942166,NA,0,1.35402510055111,2.484906649788,NA,0,0,1.38629436111989,2.24990483516513,0.693147180559945,1.35402510055111,1.15129254649702,NA,NA,NA,NA,NA,NA,0.693147180559945,NA,0.549306144334055,NA,1.58902691517397,2.50531764704813,1.35402510055111,2.79174815439085,1.09861228866811,NA,NA,NA,NA,NA,NA,1.44518587894808,NA,2.47082121130465,0.693147180559945,0,NA,NA,0,585,4491231,3706244
"Route_0000001025",0.693147180559945,NA,NA,NA,NA,0.693147180559945,NA,0,NA,0.462098120373297,0.597253156409352,1.97829806520653,NA,0.693147180559945,NA,NA,1.03972077083992,0.693147180559945,1.05935127678265,NA,1.32966134885476,0.693147180559945,NA,NA,0,NA,NA,NA,3.44422306242054,0.693147180559945,3.54377532429533,2.10087299191497,0.462098120373297,NA,0.693147180559945,1.86883480914168,0,NA,1.15524530093324,NA,NA,1.38629436111989,NA,0,2.88991419662551,NA,NA,NA,NA,0.693147180559945,NA,NA,0.693147180559945,1.59583058092735,1.656604433192,NA,NA,NA,3.40942825252561,1.99380473708483,0.963457252632055,1.91752421294188,0,NA,NA,0.346573590279973,NA,NA,2.36777402084204,NA,NA,0,NA,0,NA,NA,1.91003326099119,NA,2.60223212417373,NA,NA,2.32823877337275,2.68505257727323,NA,1.09861228866811,1.59583058092735,2.24446729727912,1.78236917690582,NA,2.46951018896488,1.80978187631815,0,NA,NA,NA,NA,NA,NA,NA,0.346573590279973,0.693147180559945,3.36459242632642,2.679073343711,1.4391627045121,1.84839248149319,0,NA,NA,NA,NA,0.549306144334055,NA,1.49993655677676,NA,3.59547610157624,0.346573590279973,0.963457252632055,NA,NA,NA,587,4488880,3734114
"Route_0000001026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.99449202328214,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.895879734614027,2.86504989148679,1.497866136777,NA,NA,1.35402510055111,NA,NA,NA,1.242453324894,NA,0.346573590279973,NA,NA,2.09482737101321,NA,0.346573590279973,3.41489686875621,NA,NA,NA,0.693147180559945,NA,NA,0,NA,NA,1.6094379124341,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.346573590279973,0.346573590279973,NA,1.03972077083992,NA,0.693147180559945,NA,NA,NA,NA,NA,0.693147180559945,0,1.242453324894,3.769513527912,0,0.693147180559945,NA,NA,NA,NA,1.242453324894,0.693147180559945,NA,0.346573590279973,NA,2.07944154167984,2.28217409573392,1.09861228866811,0,NA,NA,0,NA,NA,NA,NA,2.34106561356211,NA,1.73286795139986,2.25542975325842,NA,NA,0.693147180559945,NA,588,4512806,3736098
"Route_0000001038",NA,NA,NA,NA,0,0,NA,NA,NA,NA,2.59105789349418,0.693147180559945,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0.693147180559945,NA,1.2904003369693,NA,NA,NA,2.69444286959546,0.346573590279973,0.549306144334055,2.38956174655576,2.15796356545076,NA,NA,NA,0.828302216596,1.03972077083992,1.58902691517397,NA,NA,1.96203467715005,NA,1.70798799313442,3.25362886131237,NA,NA,0.693147180559945,0.902683400367403,NA,NA,NA,NA,NA,1.70059869083108,0.693147180559945,NA,0.346573590279973,0,1.58902691517397,NA,NA,NA,NA,NA,NA,NA,NA,0.597253156409352,NA,0,0,NA,NA,NA,1.59583058092735,0.231049060186648,NA,2.65239244115316,0,0,NA,NA,NA,NA,NA,0,NA,0.346573590279973,3.47272191520587,0.231049060186648,1.38629436111989,NA,NA,1.92691450526411,0,2.1803433330633,NA,0,1.09861228866811,NA,1.75249845734259,2.42413279752335,1.13373246055405,NA,0.693147180559945,1.05935127678265,0.346573590279973,NA,NA,0.462098120373297,NA,2.11345310124258,0,2.55696494378737,2.51123123661621,NA,NA,1.38104490879718,NA,600,4664366,3748535
